second,Volt
-1.82E-03,8.84E-01
-1.81E-03,8.84E-01
-1.81E-03,8.84E-01
-1.81E-03,8.84E-01
-1.81E-03,9.25E-01
-1.80E-03,9.25E-01
-1.80E-03,8.84E-01
-1.80E-03,9.25E-01
-1.80E-03,9.25E-01
-1.79E-03,9.25E-01
-1.79E-03,9.25E-01
-1.79E-03,9.25E-01
-1.79E-03,9.25E-01
-1.78E-03,9.25E-01
-1.78E-03,9.65E-01
-1.78E-03,9.65E-01
-1.78E-03,9.65E-01
-1.77E-03,9.25E-01
-1.77E-03,9.65E-01
-1.77E-03,9.65E-01
-1.77E-03,9.65E-01
-1.76E-03,9.65E-01
-1.76E-03,9.65E-01
-1.76E-03,9.65E-01
-1.76E-03,9.65E-01
-1.75E-03,9.65E-01
-1.75E-03,9.65E-01
-1.75E-03,9.65E-01
-1.74E-03,9.65E-01
-1.74E-03,9.65E-01
-1.74E-03,9.25E-01
-1.74E-03,9.65E-01
-1.73E-03,9.65E-01
-1.73E-03,9.65E-01
-1.73E-03,9.65E-01
-1.73E-03,9.25E-01
-1.72E-03,9.65E-01
-1.72E-03,9.65E-01
-1.72E-03,9.25E-01
-1.72E-03,9.25E-01
-1.71E-03,9.25E-01
-1.71E-03,9.25E-01
-1.71E-03,9.25E-01
-1.71E-03,9.25E-01
-1.70E-03,9.25E-01
-1.70E-03,9.25E-01
-1.70E-03,9.25E-01
-1.70E-03,8.84E-01
-1.69E-03,8.84E-01
-1.69E-03,8.84E-01
-1.69E-03,8.84E-01
-1.69E-03,8.84E-01
-1.68E-03,8.84E-01
-1.68E-03,8.44E-01
-1.68E-03,8.84E-01
-1.68E-03,8.44E-01
-1.67E-03,8.44E-01
-1.67E-03,8.44E-01
-1.67E-03,8.04E-01
-1.67E-03,8.44E-01
-1.66E-03,8.04E-01
-1.66E-03,8.04E-01
-1.66E-03,7.64E-01
-1.66E-03,8.04E-01
-1.65E-03,7.64E-01
-1.65E-03,7.64E-01
-1.65E-03,7.64E-01
-1.64E-03,7.24E-01
-1.64E-03,7.24E-01
-1.64E-03,7.24E-01
-1.64E-03,7.24E-01
-1.63E-03,7.24E-01
-1.63E-03,6.83E-01
-1.63E-03,6.83E-01
-1.63E-03,6.83E-01
-1.62E-03,6.43E-01
-1.62E-03,6.43E-01
-1.62E-03,6.43E-01
-1.62E-03,6.03E-01
-1.61E-03,6.03E-01
-1.61E-03,6.03E-01
-1.61E-03,6.03E-01
-1.61E-03,6.03E-01
-1.60E-03,5.63E-01
-1.60E-03,5.63E-01
-1.60E-03,5.23E-01
-1.60E-03,5.23E-01
-1.59E-03,5.23E-01
-1.59E-03,4.82E-01
-1.59E-03,4.82E-01
-1.59E-03,4.82E-01
-1.58E-03,4.42E-01
-1.58E-03,4.42E-01
-1.58E-03,4.02E-01
-1.58E-03,4.02E-01
-1.57E-03,4.02E-01
-1.57E-03,4.02E-01
-1.57E-03,3.62E-01
-1.57E-03,3.62E-01
-1.56E-03,3.62E-01
-1.56E-03,3.22E-01
-1.56E-03,3.22E-01
-1.56E-03,2.81E-01
-1.55E-03,2.81E-01
-1.55E-03,2.81E-01
-1.55E-03,2.41E-01
-1.55E-03,2.41E-01
-1.54E-03,2.41E-01
-1.54E-03,2.01E-01
-1.54E-03,2.01E-01
-1.53E-03,1.61E-01
-1.53E-03,1.61E-01
-1.53E-03,1.21E-01
-1.53E-03,1.21E-01
-1.52E-03,1.21E-01
-1.52E-03,8.04E-02
-1.52E-03,8.04E-02
-1.52E-03,4.02E-02
-1.51E-03,4.02E-02
-1.51E-03,4.02E-02
-1.51E-03,0.00E+00
-1.51E-03,0.00E+00
-1.50E-03,-4.02E-02
-1.50E-03,-4.02E-02
-1.50E-03,-4.02E-02
-1.50E-03,-8.04E-02
-1.49E-03,-8.04E-02
-1.49E-03,-8.04E-02
-1.49E-03,-1.21E-01
-1.49E-03,-1.21E-01
-1.48E-03,-1.61E-01
-1.48E-03,-1.61E-01
-1.48E-03,-1.61E-01
-1.48E-03,-2.01E-01
-1.47E-03,-2.01E-01
-1.47E-03,-2.01E-01
-1.47E-03,-2.41E-01
-1.47E-03,-2.41E-01
-1.46E-03,-2.81E-01
-1.46E-03,-2.81E-01
-1.46E-03,-3.22E-01
-1.46E-03,-3.22E-01
-1.45E-03,-3.22E-01
-1.45E-03,-3.62E-01
-1.45E-03,-3.62E-01
-1.45E-03,-3.62E-01
-1.44E-03,-4.02E-01
-1.44E-03,-4.02E-01
-1.44E-03,-4.02E-01
-1.44E-03,-4.42E-01
-1.43E-03,-4.42E-01
-1.43E-03,-4.42E-01
-1.43E-03,-4.82E-01
-1.42E-03,-4.82E-01
-1.42E-03,-5.23E-01
-1.42E-03,-5.23E-01
-1.42E-03,-5.63E-01
-1.41E-03,-5.63E-01
-1.41E-03,-5.63E-01
-1.41E-03,-5.63E-01
-1.41E-03,-6.03E-01
-1.40E-03,-6.03E-01
-1.40E-03,-6.43E-01
-1.40E-03,-6.43E-01
-1.40E-03,-6.43E-01
-1.39E-03,-6.43E-01
-1.39E-03,-6.83E-01
-1.39E-03,-6.83E-01
-1.39E-03,-7.24E-01
-1.38E-03,-7.24E-01
-1.38E-03,-7.24E-01
-1.38E-03,-7.24E-01
-1.38E-03,-7.64E-01
-1.37E-03,-7.64E-01
-1.37E-03,-7.64E-01
-1.37E-03,-8.04E-01
-1.37E-03,-8.04E-01
-1.36E-03,-8.04E-01
-1.36E-03,-8.04E-01
-1.36E-03,-8.04E-01
-1.36E-03,-8.44E-01
-1.35E-03,-8.44E-01
-1.35E-03,-8.44E-01
-1.35E-03,-8.44E-01
-1.35E-03,-8.84E-01
-1.34E-03,-8.84E-01
-1.34E-03,-8.84E-01
-1.34E-03,-8.84E-01
-1.34E-03,-8.84E-01
-1.33E-03,-9.25E-01
-1.33E-03,-9.25E-01
-1.33E-03,-9.25E-01
-1.32E-03,-9.25E-01
-1.32E-03,-9.25E-01
-1.32E-03,-9.65E-01
-1.32E-03,-9.65E-01
-1.31E-03,-9.65E-01
-1.31E-03,-9.65E-01
-1.31E-03,-9.65E-01
-1.31E-03,-1.01E+00
-1.30E-03,-9.65E-01
-1.30E-03,-1.01E+00
-1.30E-03,-1.01E+00
-1.30E-03,-1.01E+00
-1.29E-03,-1.01E+00
-1.29E-03,-1.01E+00
-1.29E-03,-1.01E+00
-1.29E-03,-1.01E+00
-1.28E-03,-1.01E+00
-1.28E-03,-1.05E+00
-1.28E-03,-1.05E+00
-1.28E-03,-1.05E+00
-1.27E-03,-1.05E+00
-1.27E-03,-1.05E+00
-1.27E-03,-1.05E+00
-1.27E-03,-1.05E+00
-1.26E-03,-1.05E+00
-1.26E-03,-1.05E+00
-1.26E-03,-1.05E+00
-1.26E-03,-1.05E+00
-1.25E-03,-1.05E+00
-1.25E-03,-1.05E+00
-1.25E-03,-1.05E+00
-1.25E-03,-1.05E+00
-1.24E-03,-1.05E+00
-1.24E-03,-1.05E+00
-1.24E-03,-1.05E+00
-1.24E-03,-1.05E+00
-1.23E-03,-1.05E+00
-1.23E-03,-1.05E+00
-1.23E-03,-1.05E+00
-1.23E-03,-1.05E+00
-1.22E-03,-1.01E+00
-1.22E-03,-1.01E+00
-1.22E-03,-1.01E+00
-1.21E-03,-1.01E+00
-1.21E-03,-1.05E+00
-1.21E-03,-1.01E+00
-1.21E-03,-1.01E+00
-1.20E-03,-1.01E+00
-1.20E-03,-1.01E+00
-1.20E-03,-1.01E+00
-1.20E-03,-1.01E+00
-1.19E-03,-9.65E-01
-1.19E-03,-1.01E+00
-1.19E-03,-9.65E-01
-1.19E-03,-9.65E-01
-1.18E-03,-9.65E-01
-1.18E-03,-9.65E-01
-1.18E-03,-9.65E-01
-1.18E-03,-9.65E-01
-1.17E-03,-9.25E-01
-1.17E-03,-9.25E-01
-1.17E-03,-9.25E-01
-1.17E-03,-8.84E-01
-1.16E-03,-8.84E-01
-1.16E-03,-8.84E-01
-1.16E-03,-8.84E-01
-1.16E-03,-8.84E-01
-1.15E-03,-8.84E-01
-1.15E-03,-8.44E-01
-1.15E-03,-8.44E-01
-1.15E-03,-8.44E-01
-1.14E-03,-8.44E-01
-1.14E-03,-8.04E-01
-1.14E-03,-8.04E-01
-1.14E-03,-8.04E-01
-1.13E-03,-7.64E-01
-1.13E-03,-7.64E-01
-1.13E-03,-7.64E-01
-1.13E-03,-7.64E-01
